Rank	Team	A	B	C	D	E	F	G	H	I	J	K	L	M	=	Time	Medal
74	Yerevan SU 2 (Hambardzumyan, Altunyan, Mkrtumyan)	-6	.	.	.	+1 (39:04)	+2 (105:57)	+1 (64:02)	.	.	.	.	+1 (53:52)	+ (273:05)	5	634	
75	North-Eastern FU (Khovrov, Artamonov, Khokholov)	-2	.	.	.	+3 (48:20)	+3 (89:08)	+ (30:40)	.	.	.	-1	+ (21:39)	+7 (199:29)	5	647	
76	Saratov SU 2 (Sokolkov, Nartsev, Romaschenko)	-5	.	.	.	+ (102:23)	+ (217:28)	+ (50:34)	.	.	.	.	+ (16:59)	+1 (259:57)	5	664	
77	Kazakh-British TU 2 (Omarov, Akhanov, Kenen)	+3 (274:50)	.	.	.	+1 (58:38)	+1 (89:52)	+2 (78:03)	.	.	.	.	+ (27:34)	-1	5	666	
78	NUST MISiS 2 (Erdneev, Lyanov, Ilyuhin)	+2 (259:46)	.	.	.	+1 (54:13)	+1 (179:29)	+ (76:59)	.	.	.	.	+ (19:30)	-3	5	667	
79	Moscow SU 4 (Tsyganov, Kopylov, Semchankau)	+2 (217:02)	.	.	.	+1 (158:54)	+1 (70:24)	+3 (76:17)	.	.	.	.	+ (17:33)	-4	5	678	
80	SPb ITMO University 3 (Tupikina, Latyshev, Popyrkina)	-2	.	.	.	+2 (74:04)	+ (56:34)	+2 (159:50)	.	.	.	.	+1 (33:16)	+ (265:16)	5	687	
81	Nazarbaev U 1 (Batyrkhan, Kairly, Omarov)	+7 (245:17)	.	.	.	+ (31:58)	+1 (161:31)	+1 (52:37)	.	.	.	.	+ (21:06)	.	5	690	
82	Far Eastern FU 1 (Blinov, Danilov, Zhikhareva)	+5 (263:50)	.	.	.	+ (63:59)	+3 (169:10)	+ (43:51)	.	.	.	.	+ (14:34)	.	5	712	
83	Petrozavodsk SU 3 (Remeslennikov, Titov, Evstafeev)	+3 (288:17)	.	.	.	+ (92:56)	+1 (186:25)	+ (58:53)	.	.	.	.	+ (30:06)	.	5	734	
84	Ulyanovsk STU (Krutov, Gorshkov, Shakurov)	+3 (163:16)	.	.	.	+1 (98:06)	+4 (272:53)	+ (43:37)	.	.	.	.	+ (14:17)	.	5	750	
85	Mordovian SU (Martynov, Kuznetsov, Nemchinova)	+4 (282:10)	.	.	.	+ (73:44)	+2 (121:21)	+3 (77:30)	.	.	.	.	+ (21:39)	.	5	754	
86	Orel SU (Barbashov, Zherebyonkov, Rudanovskiy)	-1	.	.	.	+1 (80:47)	+ (190:22)	+ (39:21)	.	.	.	.	+ (46:05)	+5 (292:06)	5	767	
87	Grodno SU (Ihnatsenka, Kolasau, Adynets)	+2 (186:39)	.	.	.	+1 (77:43)	+7 (273:37)	+ (79:31)	.	.	.	.	+ (34:53)	.	5	849	
88	Tashkent U of IT 1 (Murtozakulov, Axmadaliyev, Juraev)	+6 (283:14)	.	.	.	+6 (158:54)	+ (82:56)	+2 (62:47)	.	.	.	.	+ (46:22)	-1	5	911	
89	NRU HS of Economics 2 (Petukhouski, Chulkov, Kvasha)	-10	.	.	.	+ (50:03)	+3 (155:27)	+5 (212:47)	.	.	.	.	+ (10:43)	+4 (254:00)	5	921	
90	Kazan FU 1 (Yagafarov, Kapralov, Ilikaev)	-6	.	.	.	+1 (77:53)	+ (122:46)	+ (32:24)	.	.	.	.	+ (18:00)	.	4	269	
91	Vilnius U (Straksys, Simoliunaite, Strimaitis)	.	.	.	.	+ (41:43)	+1 (158:53)	+ (55:26)	.	.	.	.	+ (19:59)	-5	4	293	
92	Moscow Aviation I 1 (Dorokhov, Sorokin, Krivov)	-3	.	.	.	+ (90:36)	+ (122:42)	+1 (38:49)	.	.	.	.	+ (24:40)	-1	4	294	
93	Moscow Ped SU 2 (Mundzhanova, Stenina, Bobrov)	-8	-3	.	.	+ (48:31)	+2 (124:04)	+ (65:18)	.	.	.	.	+ (25:19)	.	4	302	
94	Bauman Moscow STU 1 (Gavrilovsky, Mamaev, Apakhov)	-2	.	.	.	+ (87:08)	+ (159:42)	+ (49:07)	.	.	-1	.	+ (25:11)	.	4	320	
95	Kazakhstan br of MSU 1 (Sharipov, Askergali, Bekmaganbetov)	.	.	.	.	+ (52:30)	+ (115:46)	+1 (87:22)	.	.	.	.	+ (48:28)	-5	4	322	
96	International IT U 3 (Sarsenov, Oral, Auganov)	-1	.	.	.	+ (50:39)	+1 (118:08)	+1 (74:59)	.	.	.	.	+1 (31:00)	.	4	333	
97	Nazarbaev U 2 (Aitzhanov, Manabayev, Ilyassov)	-4	.	.	.	+3 (75:19)	+ (150:19)	+ (39:38)	.	.	.	.	+ (20:54)	-2	4	344	
97	NRU HS of Economics 4 (Vasilev, Vishnyakov, Anikushin)	-1	.	.	.	+1 (88:26)	+ (123:04)	+ (61:58)	.	.	.	.	+ (52:30)	-4	4	344	
97	Ural FU 2 (Pivko, Stikhin, Arapova)	-3	.	.	.	+ (83:21)	+ (106:20)	+1 (91:23)	.	.	.	.	+ (44:03)	.	4	344	
