Rank	Team	A	B	C	D	E	F	G	H	I	J	K	L	M	=	Time
108	Free University of Tbilisi 4 (Bukhnikashvili, Popkhadze, Tsutskhashvili)	+ (181:23)	.	.	.	.	+5 (299:03)	.	+1 (72:48)	.	.	.	.	.	3	672
109	Belarusian SU of Informatics and Radioelectronics 3 (Kulichok, Medunetski, Novikov)	+2 (152:32)	.	.	.	.	+1 (238:52)	.	+ (225:12)	.	.	.	.	.	3	675
110	South Ural State University 3 (Basmanov, Mironov, Obukhov)	+2 (140:56)	.	.	.	.	+2 (234:20)	.	+1 (207:11)	.	.	.	.	.	3	681
111	Buryat State University 1 (Bykova, Filippov, Maltsev)	+4 (196:58)	.	.	.	.	+ (287:32)	.	+2 (99:04)	.	-4	.	.	.	3	702
112	Izhevsk State Technical University 2 (Maksimov, Poskrebyshev, Sebeldin)	+ (53:30)	.	.	.	-2	+12 (218:31)	.	+3 (132:23)	.	.	.	.	.	3	703
113	Qafqaz University 2 (Hajili, Kerimov, Klyestov)	+5 (174:57)	.	-1	.	-2	+ (215:03)	.	+3 (226:44)	.	.	.	.	.	3	775
114	Bauman Moscow State Technical University (Kudryavtsev, Rudnev, Zashikhin)	+8 (292:30)	.	.	.	.	+ (210:32)	.	+5 (258:27)	.	.	.	.	.	3	1020
115	Siberian State University of Telecommunication & Informatics 1 (Boldakov, Turtsev, Velichko)	+ (26:55)	.	.	.	-4	-2	.	+1 (75:57)	.	.	.	.	.	2	121
116	Perm Higher School of Economics (Faletov, Gaynetdinova, Kuchev)	+ (47:26)	.	.	.	.	.	.	+ (107:09)	.	-1	.	.	.	2	154
117	Alexander Pushkin Brest State University (Paliukhovich, Patsiomkin, Sobin)	+1 (68:36)	.	.	.	.	.	.	+ (100:33)	.	-15	.	.	.	2	188
118	Tomsk State University 2 (Grudinin, Kotov, Zhukovskaja)	-1	.	.	.	.	+1 (105:09)	.	+ (83:07)	.	.	.	.	.	2	208
119	Ufa State Aviation Technical University 2 (Kryukov, Manaev, Valiev)	+ (74:53)	.	.	.	.	-2	.	+1 (121:16)	.	.	.	.	.	2	215
120	Nizhny Novgorod State Technical University (Kazantaev, Neimuschev, Tikhonov)	+ (96:59)	.	.	.	.	.	.	+ (132:45)	.	.	.	.	.	2	228
